epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,238.542,1.018,3.49788,0.01078,0.7833,0.78392,0.8315,0.65918,0.84021,0.8459,0.01386,0.00999074,0.00333025,0.00999074,0.00333025,0.00999074,0.00333025,0.00999074,0.00333025
2,436.878,0.97124,1.34886,0.01064,0.83951,0.85728,0.87532,0.70501,0.83587,0.69251,0.01455,0.0197928,0.00659761,0.0197928,0.00659761,0.0197928,0.00659761,0.0197928,0.00659761
3,622.837,1.01142,0.91416,0.01116,0.84937,0.83534,0.86074,0.68454,0.90151,0.80888,0.01641,0.0293969,0.00979897,0.0293969,0.00979897,0.0293969,0.00979897,0.0293969,0.00979897
4,809.723,1.02721,0.83333,0.01144,0.85787,0.87659,0.89722,0.71641,0.89066,0.64095,0.01638,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,995.522,0.99386,0.75426,0.01093,0.87345,0.88044,0.90592,0.74053,0.81979,0.57723,0.01453,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1173.28,0.97285,0.71433,0.01067,0.89936,0.8862,0.91139,0.74386,0.8257,0.56213,0.01465,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1357.9,0.94921,0.67225,0.01037,0.89251,0.89361,0.91734,0.75092,0.81038,0.56486,0.01448,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1542.07,0.93087,0.65391,0.0101,0.89057,0.90033,0.92118,0.76029,0.77952,0.549,0.01362,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1729.56,0.91548,0.62603,0.01001,0.89822,0.89571,0.92018,0.76074,0.77622,0.53306,0.01362,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1916.17,0.9138,0.62557,0.00989,0.91546,0.90881,0.93785,0.77879,0.7416,0.44932,0.01248,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2101.36,0.89596,0.59276,0.0097,0.91185,0.9121,0.93212,0.78278,0.72057,0.47259,0.01202,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2287.59,0.883,0.58165,0.00935,0.92175,0.91368,0.93765,0.7888,0.70977,0.44121,0.01183,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2593.91,0.87873,0.56533,0.00931,0.92576,0.90883,0.93969,0.7947,0.69431,0.43447,0.01145,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2903.11,0.87047,0.55844,0.00923,0.91944,0.90851,0.93844,0.79674,0.67983,0.44181,0.01129,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
