epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3844,1.44686,5.00798,0.02019,0,0,0,0,1.9858,4.77295,0.03913,0.000326667,0.000326667,0.06766
2,41.7072,1.42435,4.54518,0.02024,0.0126,0.07561,0.00707,0.00389,1.57819,4.47842,0.0287,0.000653466,0.000653466,0.0346535
3,61.7453,1.41169,4.30876,0.02076,0.42467,0.04377,0.02675,0.01421,1.54749,3.71982,0.02742,0.000973665,0.000973665,0.00164033
4,82.0864,1.42129,4.06294,0.02024,0.11195,0.11991,0.04391,0.02367,1.5502,3.51339,0.02824,0.0009703,0.0009703,0.0009703
5,102.237,1.45331,3.88979,0.02068,0.10838,0.18979,0.07348,0.03266,1.62278,3.60201,0.03285,0.0009604,0.0009604,0.0009604
6,122.366,1.43971,3.62703,0.02,0.19598,0.18373,0.09774,0.04941,1.5738,3.22031,0.02839,0.0009505,0.0009505,0.0009505
7,142.488,1.4389,3.58195,0.0209,0.17711,0.20652,0.12972,0.06839,1.61154,2.90087,0.02942,0.0009406,0.0009406,0.0009406
8,162.74,1.46422,3.37662,0.02171,0.23407,0.25277,0.15834,0.08689,1.54687,2.95626,0.02892,0.0009307,0.0009307,0.0009307
9,182.909,1.43944,3.2814,0.02108,0.25181,0.25302,0.18932,0.09748,1.66451,2.68645,0.03126,0.0009208,0.0009208,0.0009208
10,203.11,1.44204,3.19677,0.02123,0.27722,0.33011,0.22949,0.12628,1.54898,2.48267,0.02788,0.0009109,0.0009109,0.0009109
11,223.082,1.42839,3.02814,0.02135,0.28488,0.30915,0.19956,0.10757,1.53913,2.67475,0.02807,0.000901,0.000901,0.000901
12,243.135,1.42714,2.97469,0.02091,0.32543,0.31811,0.27903,0.13845,1.7143,2.43357,0.03279,0.0008911,0.0008911,0.0008911
13,263.118,1.43214,2.91238,0.02085,0.36498,0.33857,0.28631,0.15464,1.55449,2.24846,0.02854,0.0008812,0.0008812,0.0008812
14,283.164,1.43014,2.85113,0.02112,0.35712,0.36276,0.34278,0.202,1.46548,2.10974,0.02638,0.0008713,0.0008713,0.0008713
15,303.104,1.428,2.69244,0.02085,0.43121,0.39454,0.3805,0.22111,1.48873,1.99442,0.0266,0.0008614,0.0008614,0.0008614
16,323.181,1.43297,2.67095,0.02088,0.38034,0.42059,0.37916,0.19912,1.67474,2.02873,0.03116,0.0008515,0.0008515,0.0008515
17,343.257,1.42988,2.63662,0.02163,0.42213,0.44088,0.40923,0.22166,1.60895,2.0275,0.02915,0.0008416,0.0008416,0.0008416
18,363.374,1.4211,2.5749,0.0206,0.46974,0.4465,0.45341,0.24961,1.55641,2.02147,0.0289,0.0008317,0.0008317,0.0008317
19,383.273,1.39428,2.50178,0.02058,0.45105,0.48612,0.45838,0.26649,1.46881,1.82951,0.02708,0.0008218,0.0008218,0.0008218
20,403.193,1.422,2.46433,0.02077,0.53473,0.48703,0.5098,0.29494,1.45516,1.72088,0.02607,0.0008119,0.0008119,0.0008119
21,423.28,1.45,2.39608,0.02057,0.52257,0.50845,0.51757,0.28634,1.57238,1.75825,0.0291,0.000802,0.000802,0.000802
22,443.29,1.4267,2.42595,0.02073,0.54543,0.49047,0.52183,0.29776,1.51768,1.72153,0.02846,0.0007921,0.0007921,0.0007921
23,463.237,1.43733,2.39934,0.02181,0.55183,0.50314,0.52491,0.29127,1.55271,1.69333,0.02911,0.0007822,0.0007822,0.0007822
24,483.226,1.41903,2.34038,0.02053,0.60644,0.5361,0.56532,0.33163,1.47994,1.59993,0.02618,0.0007723,0.0007723,0.0007723
25,503.164,1.39595,2.23367,0.02016,0.63541,0.54751,0.61107,0.35878,1.5025,1.4757,0.0272,0.0007624,0.0007624,0.0007624
26,523.169,1.39979,2.2371,0.0206,0.65465,0.59253,0.66075,0.39516,1.42575,1.36632,0.02501,0.0007525,0.0007525,0.0007525
27,543.225,1.43037,2.23172,0.02059,0.64225,0.58706,0.64283,0.37782,1.44677,1.43192,0.02538,0.0007426,0.0007426,0.0007426
28,563.343,1.40986,2.23601,0.02081,0.66442,0.582,0.65951,0.39668,1.38907,1.34452,0.02408,0.0007327,0.0007327,0.0007327
29,583.368,1.37058,2.1255,0.01977,0.70599,0.62522,0.69889,0.43677,1.34596,1.28245,0.0235,0.0007228,0.0007228,0.0007228
30,603.49,1.39315,2.12466,0.02029,0.68297,0.60459,0.66526,0.4121,1.37361,1.34835,0.02444,0.0007129,0.0007129,0.0007129
31,623.413,1.40653,2.04132,0.01957,0.67334,0.62877,0.69051,0.39672,1.49149,1.31675,0.02632,0.000703,0.000703,0.000703
32,643.464,1.39797,2.0359,0.02018,0.70595,0.65343,0.72257,0.43079,1.43484,1.2076,0.02559,0.0006931,0.0006931,0.0006931
33,663.4,1.36962,1.97654,0.02007,0.67677,0.61206,0.68496,0.41646,1.39649,1.32064,0.02449,0.0006832,0.0006832,0.0006832
34,683.249,1.36402,2.02738,0.01987,0.71874,0.6263,0.72471,0.45018,1.36329,1.22928,0.02371,0.0006733,0.0006733,0.0006733
35,703.351,1.37381,1.98398,0.01997,0.75141,0.67294,0.75208,0.4713,1.34226,1.14643,0.02319,0.0006634,0.0006634,0.0006634
36,723.349,1.35565,1.90831,0.01962,0.73971,0.6895,0.75733,0.47735,1.33295,1.13792,0.02292,0.0006535,0.0006535,0.0006535
37,743.389,1.36008,1.92169,0.01948,0.76324,0.68308,0.77327,0.4633,1.415,1.09538,0.02566,0.0006436,0.0006436,0.0006436
38,763.278,1.36507,1.93272,0.0194,0.75971,0.68616,0.77534,0.48574,1.32957,1.07253,0.0232,0.0006337,0.0006337,0.0006337
39,783.227,1.33296,1.89153,0.01913,0.75909,0.6818,0.77013,0.47091,1.36008,1.07851,0.02376,0.0006238,0.0006238,0.0006238
40,803.189,1.35125,1.89555,0.01984,0.77012,0.70768,0.79819,0.49714,1.32536,1.03821,0.02265,0.0006139,0.0006139,0.0006139
41,823.547,1.35247,1.85156,0.01995,0.7851,0.71832,0.80501,0.50859,1.31702,1.02433,0.02221,0.000604,0.000604,0.000604
42,843.571,1.35596,1.77471,0.01928,0.78616,0.7399,0.82138,0.51691,1.32704,0.94087,0.02278,0.0005941,0.0005941,0.0005941
43,863.577,1.33664,1.77859,0.0193,0.80667,0.7172,0.82508,0.5343,1.2612,0.94123,0.02135,0.0005842,0.0005842,0.0005842
44,883.65,1.31887,1.78034,0.01953,0.7972,0.72691,0.82455,0.52501,1.32424,0.92313,0.02322,0.0005743,0.0005743,0.0005743
45,903.547,1.30687,1.79929,0.0189,0.78075,0.73131,0.82257,0.53112,1.27475,0.964,0.02141,0.0005644,0.0005644,0.0005644
46,923.348,1.29872,1.69437,0.01856,0.79205,0.74877,0.83133,0.53125,1.2939,0.91891,0.02212,0.0005545,0.0005545,0.0005545
47,943.326,1.33597,1.72163,0.01933,0.78169,0.76933,0.8388,0.53913,1.28167,0.88713,0.02204,0.0005446,0.0005446,0.0005446
48,963.371,1.33145,1.71914,0.01929,0.76502,0.76234,0.83756,0.54396,1.22761,0.90504,0.02061,0.0005347,0.0005347,0.0005347
49,983.27,1.29723,1.66728,0.01851,0.83507,0.75436,0.85976,0.57261,1.21635,0.8057,0.02039,0.0005248,0.0005248,0.0005248
50,1003.31,1.31377,1.65732,0.01802,0.80447,0.78915,0.85527,0.56316,1.21799,0.84053,0.02049,0.0005149,0.0005149,0.0005149
51,1023.11,1.32047,1.62985,0.01874,0.81047,0.77433,0.85154,0.5606,1.20936,0.82516,0.01991,0.000505,0.000505,0.000505
52,1043.03,1.30046,1.57882,0.01854,0.81814,0.80172,0.8732,0.5745,1.20845,0.82857,0.0209,0.0004951,0.0004951,0.0004951
53,1063.09,1.29986,1.60374,0.01863,0.80528,0.80115,0.87167,0.5806,1.16418,0.79771,0.01914,0.0004852,0.0004852,0.0004852
54,1083.17,1.28599,1.5787,0.01814,0.8644,0.78354,0.88522,0.60308,1.16259,0.72813,0.01912,0.0004753,0.0004753,0.0004753
55,1103.1,1.29011,1.61642,0.01828,0.8382,0.80013,0.88801,0.59954,1.16381,0.71727,0.01926,0.0004654,0.0004654,0.0004654
56,1122.91,1.26604,1.5549,0.01799,0.85415,0.81299,0.89147,0.59787,1.17559,0.72797,0.01957,0.0004555,0.0004555,0.0004555
57,1142.74,1.26432,1.49889,0.01813,0.85663,0.80294,0.89109,0.59875,1.1686,0.70102,0.01956,0.0004456,0.0004456,0.0004456
58,1162.79,1.26333,1.46579,0.01765,0.85974,0.80423,0.88777,0.58939,1.19737,0.74858,0.02024,0.0004357,0.0004357,0.0004357
59,1182.94,1.3007,1.55181,0.01854,0.8643,0.79359,0.88987,0.60661,1.12981,0.69469,0.01827,0.0004258,0.0004258,0.0004258
60,1202.87,1.26666,1.51458,0.01824,0.86688,0.82944,0.90829,0.61665,1.15131,0.65932,0.01897,0.0004159,0.0004159,0.0004159
61,1222.79,1.22738,1.48321,0.01763,0.86124,0.84572,0.90879,0.61021,1.15264,0.66023,0.01905,0.000406,0.000406,0.000406
62,1242.87,1.28294,1.52781,0.01799,0.85403,0.82623,0.9045,0.60115,1.19786,0.70356,0.02061,0.0003961,0.0003961,0.0003961
63,1262.73,1.25312,1.47614,0.01786,0.84994,0.83779,0.89535,0.59447,1.20183,0.73779,0.02067,0.0003862,0.0003862,0.0003862
64,1282.74,1.27009,1.44237,0.01761,0.88542,0.83994,0.91913,0.6207,1.16943,0.65223,0.01941,0.0003763,0.0003763,0.0003763
65,1302.86,1.24645,1.40024,0.01738,0.8679,0.83948,0.91751,0.6243,1.13929,0.63696,0.01893,0.0003664,0.0003664,0.0003664
66,1322.89,1.24108,1.37353,0.01756,0.8827,0.85408,0.92956,0.6495,1.0983,0.60365,0.01796,0.0003565,0.0003565,0.0003565
67,1342.89,1.23697,1.35085,0.01751,0.87523,0.84804,0.92195,0.63931,1.09336,0.64293,0.01782,0.0003466,0.0003466,0.0003466
68,1362.92,1.21923,1.34465,0.01712,0.88685,0.85599,0.92717,0.64459,1.08803,0.61308,0.01756,0.0003367,0.0003367,0.0003367
69,1382.78,1.26056,1.42543,0.01796,0.88898,0.84906,0.92195,0.63868,1.10886,0.60081,0.01824,0.0003268,0.0003268,0.0003268
70,1402.73,1.26748,1.39185,0.01725,0.88862,0.85549,0.92745,0.65135,1.06975,0.59443,0.01732,0.0003169,0.0003169,0.0003169
71,1422.74,1.22715,1.3774,0.0177,0.89089,0.84228,0.9316,0.65725,1.05347,0.58597,0.01666,0.000307,0.000307,0.000307
72,1442.75,1.20798,1.35897,0.01684,0.89714,0.85591,0.93534,0.65055,1.08946,0.56536,0.01778,0.0002971,0.0002971,0.0002971
73,1462.58,1.22937,1.34464,0.01725,0.90238,0.85772,0.93475,0.6404,1.12763,0.5783,0.01894,0.0002872,0.0002872,0.0002872
74,1482.49,1.22278,1.38838,0.01751,0.90115,0.85509,0.93389,0.65341,1.08153,0.57548,0.01751,0.0002773,0.0002773,0.0002773
75,1502.33,1.2088,1.33469,0.01705,0.88648,0.86477,0.93441,0.64415,1.11455,0.57745,0.019,0.0002674,0.0002674,0.0002674
76,1522.35,1.19203,1.30792,0.01675,0.90265,0.86445,0.94078,0.66021,1.07409,0.54915,0.01722,0.0002575,0.0002575,0.0002575
77,1542.35,1.25378,1.34342,0.01737,0.90651,0.86762,0.93972,0.66115,1.06251,0.55147,0.0172,0.0002476,0.0002476,0.0002476
78,1562.3,1.19589,1.27254,0.01676,0.9015,0.86675,0.94184,0.66542,1.06398,0.54218,0.01745,0.0002377,0.0002377,0.0002377
79,1582.33,1.22391,1.28083,0.01714,0.88401,0.86691,0.93987,0.67291,1.03489,0.53524,0.01637,0.0002278,0.0002278,0.0002278
80,1602.33,1.19269,1.27533,0.01678,0.89476,0.86514,0.93643,0.66784,1.02421,0.55216,0.01637,0.0002179,0.0002179,0.0002179
81,1622.32,1.18756,1.31289,0.01687,0.88642,0.88656,0.94127,0.66777,1.04291,0.55641,0.01673,0.000208,0.000208,0.000208
82,1642.29,1.17207,1.27932,0.01659,0.88015,0.89109,0.94551,0.66481,1.06382,0.54021,0.01735,0.0001981,0.0001981,0.0001981
83,1662.13,1.20057,1.29163,0.01663,0.89168,0.88285,0.94767,0.67787,1.01699,0.52004,0.01621,0.0001882,0.0001882,0.0001882
84,1682.05,1.17016,1.24218,0.01676,0.88943,0.89645,0.94955,0.68036,1.02908,0.51917,0.01652,0.0001783,0.0001783,0.0001783
85,1701.85,1.18282,1.22402,0.01622,0.89457,0.88616,0.9501,0.67794,1.02949,0.50458,0.0163,0.0001684,0.0001684,0.0001684
86,1721.9,1.17464,1.23583,0.01643,0.9187,0.86631,0.94766,0.68575,1.00156,0.51107,0.01592,0.0001585,0.0001585,0.0001585
87,1741.75,1.19978,1.22297,0.01704,0.9199,0.87395,0.95014,0.69166,0.99673,0.50366,0.01572,0.0001486,0.0001486,0.0001486
88,1761.76,1.20059,1.25704,0.01669,0.9136,0.88226,0.95132,0.68675,1.01155,0.49719,0.01621,0.0001387,0.0001387,0.0001387
89,1781.86,1.14076,1.1377,0.01577,0.91368,0.87638,0.95459,0.69621,0.99178,0.49643,0.01563,0.0001288,0.0001288,0.0001288
90,1801.72,1.16823,1.20882,0.01578,0.89117,0.88881,0.95343,0.68962,1.009,0.50548,0.01613,0.0001189,0.0001189,0.0001189
91,1830.52,1.06234,0.769,0.01878,0.91104,0.87734,0.9511,0.6653,1.08524,0.52682,0.01806,0.000109,0.000109,0.000109
92,1850.2,1.07589,0.73209,0.0188,0.92084,0.86969,0.95389,0.69286,0.99962,0.503,0.01568,9.91e-05,9.91e-05,9.91e-05
93,1869.84,1.05336,0.69928,0.01838,0.9134,0.89165,0.95707,0.68787,1.03397,0.51653,0.01706,8.92e-05,8.92e-05,8.92e-05
94,1889.62,1.01882,0.67987,0.01824,0.88505,0.90161,0.9541,0.68885,0.999,0.5187,0.01567,7.93e-05,7.93e-05,7.93e-05
95,1909.48,1.03254,0.64814,0.01843,0.90332,0.88761,0.95504,0.6911,0.99509,0.50314,0.0157,6.94e-05,6.94e-05,6.94e-05
96,1929.12,1.02183,0.62015,0.01716,0.89369,0.91107,0.95608,0.69596,0.99212,0.49674,0.01581,5.95e-05,5.95e-05,5.95e-05
97,1948.76,1.00715,0.65534,0.01756,0.89375,0.90378,0.95568,0.69602,0.99181,0.49722,0.01581,4.96e-05,4.96e-05,4.96e-05
98,1968.57,1.01342,0.61745,0.01727,0.91555,0.88302,0.95654,0.70005,0.97841,0.49367,0.01538,3.97e-05,3.97e-05,3.97e-05
99,1988.33,0.99956,0.62971,0.01721,0.93425,0.87746,0.9586,0.69985,0.98048,0.49287,0.01537,2.98e-05,2.98e-05,2.98e-05
100,2008.06,1.01509,0.64475,0.01759,0.91389,0.89004,0.95901,0.69744,0.988,0.4934,0.0156,1.99e-05,1.99e-05,1.99e-05
