epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4272,1.30479,1.25378,0.02029,0.63836,0.53204,0.61375,0.38136,1.42815,1.68249,0.02567,3.26667e-05,3.26667e-05,0.067366
2,42.1218,1.18732,1.17776,0.01811,0.85668,0.78331,0.88766,0.59661,1.20623,0.713,0.01962,6.53466e-05,6.53466e-05,0.0340653
3,62.2224,1.12498,1.03525,0.01725,0.89591,0.87899,0.94252,0.65214,1.1296,0.57411,0.01864,9.73665e-05,9.73665e-05,0.000764033
4,82.3349,1.11535,1.01592,0.01684,0.91231,0.88081,0.95394,0.69062,1.01308,0.50336,0.01611,9.703e-05,9.703e-05,9.703e-05
5,102.252,1.11278,0.98296,0.01687,0.92991,0.87734,0.95771,0.70056,0.99223,0.4742,0.01568,9.604e-05,9.604e-05,9.604e-05
6,122.065,1.11912,1.003,0.01694,0.9291,0.88687,0.95861,0.69287,1.01632,0.48929,0.01625,9.505e-05,9.505e-05,9.505e-05
7,141.909,1.08803,1.03854,0.01636,0.92166,0.88081,0.9567,0.70064,0.97699,0.50231,0.01537,9.406e-05,9.406e-05,9.406e-05
8,161.67,1.07764,0.94537,0.01663,0.91801,0.88794,0.95792,0.70867,0.95939,0.48294,0.01489,9.307e-05,9.307e-05,9.307e-05
9,181.449,1.07438,0.98282,0.01631,0.91667,0.87945,0.95802,0.70671,0.96025,0.49442,0.01501,9.208e-05,9.208e-05,9.208e-05
10,201.368,1.08382,0.95756,0.01637,0.91469,0.88371,0.95753,0.70976,0.95126,0.47293,0.01484,9.109e-05,9.109e-05,9.109e-05
11,221.201,1.09049,0.96697,0.01633,0.93314,0.87983,0.96109,0.70928,0.9633,0.47325,0.01507,9.01e-05,9.01e-05,9.01e-05
12,241.01,1.07608,1.01175,0.01625,0.92874,0.89016,0.96105,0.71193,0.96011,0.48807,0.01526,8.911e-05,8.911e-05,8.911e-05
13,260.746,1.06492,0.9412,0.01597,0.93281,0.87863,0.96052,0.71914,0.92707,0.47079,0.01428,8.812e-05,8.812e-05,8.812e-05
14,280.705,1.06713,0.97406,0.01613,0.92368,0.88853,0.96081,0.71962,0.92325,0.45762,0.01428,8.713e-05,8.713e-05,8.713e-05
15,300.689,1.05111,0.94382,0.01549,0.9149,0.8974,0.96155,0.72239,0.91784,0.45618,0.01424,8.614e-05,8.614e-05,8.614e-05
16,320.706,1.04776,0.90385,0.01565,0.92521,0.89915,0.96492,0.72865,0.91744,0.44237,0.01432,8.515e-05,8.515e-05,8.515e-05
17,340.494,1.04147,0.94266,0.01623,0.93043,0.88967,0.96359,0.72976,0.91341,0.44871,0.01428,8.416e-05,8.416e-05,8.416e-05
18,360.71,1.06192,0.92909,0.01583,0.92324,0.89214,0.96285,0.73159,0.9016,0.43789,0.01392,8.317e-05,8.317e-05,8.317e-05
19,380.568,1.05404,0.89324,0.01607,0.9326,0.89603,0.96375,0.72851,0.91955,0.43465,0.01428,8.218e-05,8.218e-05,8.218e-05
20,400.445,1.06,0.95286,0.0161,0.93309,0.89749,0.96568,0.72524,0.92642,0.44362,0.01457,8.119e-05,8.119e-05,8.119e-05
21,420.392,1.05096,0.90764,0.01599,0.92964,0.89442,0.96461,0.73562,0.88946,0.43536,0.01359,8.02e-05,8.02e-05,8.02e-05
22,440.116,1.03387,0.92274,0.01621,0.91808,0.90258,0.96587,0.72896,0.91975,0.43246,0.01438,7.921e-05,7.921e-05,7.921e-05
23,459.972,1.06769,0.96506,0.01593,0.92445,0.90196,0.96633,0.73029,0.91554,0.43974,0.01434,7.822e-05,7.822e-05,7.822e-05
24,479.743,1.06804,0.92315,0.01625,0.91752,0.90232,0.96297,0.73199,0.89872,0.44789,0.01386,7.723e-05,7.723e-05,7.723e-05
25,503.828,1.06308,0.98786,0.01605,0.92886,0.89848,0.96452,0.73405,0.89938,0.44118,0.01397,7.624e-05,7.624e-05,7.624e-05
26,547.578,1.05406,0.97302,0.01619,0.92512,0.90513,0.96606,0.74238,0.87958,0.42826,0.01348,7.525e-05,7.525e-05,7.525e-05
27,591.924,1.0551,0.91527,0.01566,0.92637,0.90364,0.96803,0.74254,0.87784,0.42762,0.01346,7.426e-05,7.426e-05,7.426e-05
28,636.414,1.02279,0.84503,0.01547,0.93303,0.89259,0.96735,0.73504,0.90921,0.4297,0.0143,7.327e-05,7.327e-05,7.327e-05
29,681.007,1.0285,0.91864,0.01519,0.90766,0.9148,0.96687,0.73961,0.88377,0.42245,0.01362,7.228e-05,7.228e-05,7.228e-05
30,725.718,1.04454,0.89931,0.01586,0.92276,0.91164,0.9683,0.74479,0.87885,0.41192,0.01351,7.129e-05,7.129e-05,7.129e-05
31,770.296,1.03302,0.88913,0.01538,0.92797,0.91328,0.96872,0.73899,0.89828,0.4116,0.01407,7.03e-05,7.03e-05,7.03e-05
32,794.762,1.00992,0.87436,0.01494,0.93283,0.91068,0.97088,0.75228,0.86332,0.39858,0.01314,6.931e-05,6.931e-05,6.931e-05
33,814.62,1.00687,0.87656,0.015,0.91769,0.92117,0.97053,0.74673,0.87787,0.4066,0.01357,6.832e-05,6.832e-05,6.832e-05
34,834.44,1.02755,0.88702,0.01569,0.93209,0.90388,0.96911,0.74704,0.86026,0.41537,0.01306,6.733e-05,6.733e-05,6.733e-05
35,854.241,1.02297,0.88772,0.0154,0.93272,0.90859,0.9704,0.74854,0.86305,0.41933,0.01321,6.634e-05,6.634e-05,6.634e-05
36,874.231,1.03397,0.91674,0.01531,0.92663,0.91521,0.9701,0.74589,0.87251,0.40969,0.01334,6.535e-05,6.535e-05,6.535e-05
37,894.103,1.05343,0.88159,0.01609,0.93279,0.91233,0.97028,0.74969,0.85554,0.40612,0.01299,6.436e-05,6.436e-05,6.436e-05
38,913.802,1.01385,0.90013,0.01507,0.93492,0.91413,0.97143,0.74268,0.89137,0.40979,0.01379,6.337e-05,6.337e-05,6.337e-05
39,933.434,1.00814,0.89569,0.01503,0.94908,0.89801,0.97112,0.75009,0.85431,0.4055,0.01294,6.238e-05,6.238e-05,6.238e-05
40,953.048,1.00467,0.84275,0.01519,0.93251,0.91325,0.97145,0.74481,0.87891,0.40519,0.01346,6.139e-05,6.139e-05,6.139e-05
41,972.708,0.98464,0.83186,0.01535,0.94159,0.9021,0.97113,0.74557,0.87188,0.40858,0.01339,6.04e-05,6.04e-05,6.04e-05
42,992.544,1.01659,0.88772,0.01521,0.93484,0.91191,0.97183,0.75223,0.85123,0.4073,0.01293,5.941e-05,5.941e-05,5.941e-05
43,1012.32,0.98353,0.87083,0.01484,0.93083,0.91905,0.97311,0.74803,0.88,0.40089,0.01359,5.842e-05,5.842e-05,5.842e-05
44,1032.31,1.00403,0.83487,0.01495,0.93916,0.91256,0.97273,0.75585,0.84534,0.39723,0.01281,5.743e-05,5.743e-05,5.743e-05
45,1052.11,1.02166,0.88801,0.01552,0.93519,0.91502,0.97195,0.75008,0.86253,0.40058,0.01326,5.644e-05,5.644e-05,5.644e-05
46,1071.93,1.02711,0.91178,0.01473,0.92951,0.91801,0.97102,0.75452,0.8393,0.40072,0.01273,5.545e-05,5.545e-05,5.545e-05
47,1091.82,0.97915,0.83514,0.01494,0.92419,0.92428,0.96995,0.75181,0.84593,0.40344,0.01296,5.446e-05,5.446e-05,5.446e-05
48,1111.94,1.02255,0.9029,0.01469,0.93782,0.92054,0.97284,0.76138,0.83057,0.38512,0.01253,5.347e-05,5.347e-05,5.347e-05
49,1131.76,0.99786,0.87462,0.01499,0.93424,0.91761,0.97184,0.75769,0.84285,0.39001,0.01288,5.248e-05,5.248e-05,5.248e-05
50,1151.45,0.98766,0.87641,0.0147,0.92378,0.92547,0.9716,0.75853,0.83938,0.39758,0.01275,5.149e-05,5.149e-05,5.149e-05
51,1171.08,0.99929,0.86557,0.01485,0.93621,0.90439,0.97163,0.75978,0.8322,0.39729,0.01269,5.05e-05,5.05e-05,5.05e-05
52,1191.21,1.01406,0.86567,0.01492,0.92517,0.91752,0.97153,0.75723,0.84091,0.40262,0.01286,4.951e-05,4.951e-05,4.951e-05
53,1210.88,1.00994,0.85697,0.01483,0.93242,0.90231,0.97161,0.75872,0.8353,0.40011,0.01267,4.852e-05,4.852e-05,4.852e-05
54,1230.63,0.95611,0.79337,0.0144,0.93609,0.90907,0.97246,0.75838,0.83631,0.39495,0.01277,4.753e-05,4.753e-05,4.753e-05
55,1250.49,0.99995,0.82482,0.01493,0.94253,0.90874,0.97327,0.76021,0.83088,0.39008,0.01256,4.654e-05,4.654e-05,4.654e-05
56,1270.49,0.99941,0.8903,0.01482,0.93623,0.92051,0.97323,0.76062,0.83452,0.38863,0.01288,4.555e-05,4.555e-05,4.555e-05
57,1290.17,0.99575,0.84273,0.01492,0.93411,0.9227,0.97268,0.76155,0.82252,0.3828,0.01238,4.456e-05,4.456e-05,4.456e-05
58,1309.87,1.01286,0.88,0.01483,0.9376,0.91815,0.97294,0.76454,0.8137,0.38572,0.01237,4.357e-05,4.357e-05,4.357e-05
59,1329.63,0.98025,0.88909,0.01523,0.93187,0.91991,0.97428,0.76034,0.83718,0.38932,0.0129,4.258e-05,4.258e-05,4.258e-05
60,1349.48,1.01544,0.93678,0.01535,0.93883,0.91648,0.97446,0.76743,0.81258,0.38254,0.01216,4.159e-05,4.159e-05,4.159e-05
61,1369.47,0.96228,0.79205,0.01461,0.93808,0.91629,0.97376,0.7663,0.81438,0.38259,0.01233,4.06e-05,4.06e-05,4.06e-05
62,1389.45,0.99103,0.8763,0.01448,0.93792,0.92425,0.97434,0.76937,0.80557,0.37846,0.01212,3.961e-05,3.961e-05,3.961e-05
